Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.07	1	0	15	-112.144
0.07	1	0	18	-111.712
0.07	1	0	21	-113.687
0.07	1	0	24	-109.714
0.07	1	0	27	-107.861
0.07	1	0	30	-110.066
0.07	3	0	4	-113.828
0.07	3	0	7	-96.2002
0.07	3	0	10	-106.523
0.07	3	0	13	-112.759
0.07	3	0	16	-107.008
0.07	3	0	19	-110.182
0.07	3	0	22	-114.926
0.07	3	0	25	-115.525
0.07	3	0	28	-107.346
0.07	3	0	31	-100.317
0.07	5	0	5	-93.4123
0.07	5	0	8	-92.0396
0.07	5	0	11	-102.569
0.07	5	0	14	-102.507
0.07	5	0	17	-110.871
0.07	5	0	20	-97.6195
0.07	5	0	23	-111.895
0.07	5	0	26	-85.9646
