time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.78135	3	2	3	3241	0.00135
0.781564	3	3	3	2684	0.00156428
0.78185	3	2	3	3241	0.00135
0.782064	3	3	3	2684	0.00156428
0.78235	3	2	3	3241	0.00135
0.782564	3	3	3	2684	0.00156428
0.78285	3	2	3	3241	0.00135
0.783064	3	3	3	2684	0.00156428
0.78335	3	2	3	3241	0.00135
0.783564	3	3	3	2684	0.00156428
0.78385	3	2	3	3241	0.00135
0.784064	3	3	3	2684	0.00156428
0.78435	3	2	3	3241	0.00135
0.784564	3	3	3	2684	0.00156428
0.78485	3	2	3	3241	0.00135
0.785064	3	3	3	2684	0.00156428
0.78535	3	2	3	3241	0.00135
0.785529	3	3	3	2235	0.00152857
0.78585	3	2	3	3241	0.00135
0.786064	3	3	3	2684	0.00156428
0.78635	3	2	3	3241	0.00135
0.786564	3	3	3	2684	0.00156428
0.78685	3	2	3	3241	0.00135
0.787064	3	3	3	2684	0.00156428
0.78735	3	2	3	3241	0.00135
0.787564	3	3	3	2684	0.00156428
0.78785	3	2	3	3241	0.00135
0.788064	3	3	3	2684	0.00156428
0.78835	3	2	3	3241	0.00135
0.788564	3	3	3	2684	0.00156428
0.78885	3	2	3	3241	0.00135
0.789064	3	3	3	2684	0.00156428
0.78935	3	2	3	3241	0.00135
0.789564	3	3	3	2684	0.00156428
